date,name,category,value
2016-01-01,Montessori,School - not-for-profit,0
2016-01-01,CCSD,School - not-for-profit,0
2016-01-01,Kids and Company,Corporation : daycare,0
2016-01-01,Friends of Bennett,School : private,0
2016-01-01,McDade,School : CPS,0
2016-01-01,Great Lakes,School : not-for-profit,0
2016-01-01,Winsight,Corporation,0
2016-01-01,TvS,Corporation,0
2016-04-01,Stagg,School : CPS,113.5
2016-04-01,Tarkington,School : CPS,116.5
2016-04-01,Greene,School : CPS,0
2016-04-01,Chalmers,School : CPS,90
2016-04-01,Howe,School : CPS,83.75
2016-04-01,NWEA,Corporation : not-for-profit,589.5
2016-04-01,Sawyer,School : CPS,64
2016-04-01,Lincoln,School : CPS,0
2016-04-01,NWEA TFA,Corporation : not-for-profit,0
2016-04-01,NTA,School : CPS,0
2016-04-01,Gower,School : not-for-profit,370.75
2016-04-01,Miscellaneous,Miscellaneous,22.5
2016-04-01,FCP,School : not-for-profit,2
2016-04-01,Jacobs Boiler,Corporation,13.75
2016-04-01,Kaleidoscope,Corporation,65
2016-04-01,Poe,School : CPS,70.5
2016-04-01,Marquette,School : CPS,98.5
2016-04-01,Bennett,School : private,94.5
2016-04-01,Robert Crown,School : not-for-profit,101
2016-04-01,Mayer,School : CPS,99.25
2016-04-01,inQUEST,Corporation,6
2016-04-01,Bitter Pops,Corporation,0
2016-04-01,Rush Day School,School : not-for-profit,20
2016-04-01,Montessori,School - not-for-profit,3
2016-04-01,CCSD,School - not-for-profit,28.25
2016-04-01,Kids and Company,Corporation : daycare,0
2016-04-01,Friends of Bennett,School : private,0
2016-04-01,McDade,School : CPS,0
2016-04-01,Great Lakes,School : not-for-profit,0
2016-04-01,Winsight,Corporation,0
2016-04-01,TvS,Corporation,0
2016-07-01,Stagg,School : CPS,8
2016-07-01,Tarkington,School : CPS,80.75
2016-07-01,Greene,School : CPS,0
2016-07-01,Chalmers,School : CPS,39.5
2016-07-01,Howe,School : CPS,38
2016-07-01,NWEA,Corporation : not-for-profit,595.5
2016-07-01,Sawyer,School : CPS,0
2016-07-01,Lincoln,School : CPS,0
2016-07-01,NWEA TFA,Corporation : not-for-profit,0
2016-07-01,NTA,School : CPS,16
2016-07-01,Gower,School : not-for-profit,598
2016-07-01,Miscellaneous,Miscellaneous,45
2016-07-01,FCP,School : not-for-profit,15.5
2016-07-01,Jacobs Boiler,Corporation,0
2016-07-01,Kaleidoscope,Corporation,49.25
2016-07-01,Poe,School : CPS,22.5
2016-07-01,Marquette,School : CPS,16
2016-07-01,Bennett,School : private,439.25
2016-07-01,Robert Crown,School : not-for-profit,148.25
2016-07-01,Mayer,School : CPS,40.5
2016-07-01,inQUEST,Corporation,7.5
2016-07-01,Bitter Pops,Corporation,0
2016-07-01,Rush Day School,School : not-for-profit,8
2016-07-01,Montessori,School - not-for-profit,52.25
2016-07-01,CCSD,School - not-for-profit,274.5
2016-07-01,Kids and Company,Corporation : daycare,0
2016-07-01,Friends of Bennett,School : private,0
2016-07-01,McDade,School : CPS,0
2016-07-01,Great Lakes,School : not-for-profit,0
2016-07-01,Winsight,Corporation,0
2016-07-01,TvS,Corporation,0
2016-10-01,Stagg,School : CPS,0
2016-10-01,Tarkington,School : CPS,110
2016-10-01,Greene,School : CPS,0
2016-10-01,Chalmers,School : CPS,84.5
2016-10-01,Howe,School : CPS,86.25
2016-10-01,NWEA,Corporation : not-for-profit,598.5
2016-10-01,Sawyer,School : CPS,0
2016-10-01,Lincoln,School : CPS,0
2016-10-01,NWEA TFA,Corporation : not-for-profit,0
2016-10-01,NTA,School : CPS,16
2016-10-01,Gower,School : not-for-profit,355.75
2016-10-01,Miscellaneous,Miscellaneous,62.5
2016-10-01,FCP,School : not-for-profit,4
2016-10-01,Jacobs Boiler,Corporation,6.5
2016-10-01,Kaleidoscope,Corporation,76
2016-10-01,Poe,School : CPS,61
2016-10-01,Marquette,School : CPS,39
2016-10-01,Bennett,School : private,173.5
2016-10-01,Robert Crown,School : not-for-profit,114.5
2016-10-01,Mayer,School : CPS,97.5
2016-10-01,inQUEST,Corporation,2.25
2016-10-01,Bitter Pops,Corporation,0
2016-10-01,Rush Day School,School : not-for-profit,6
2016-10-01,Montessori,School - not-for-profit,79.5
2016-10-01,CCSD,School - not-for-profit,78.5
2016-10-01,Kids and Company,Corporation : daycare,0
2016-10-01,Friends of Bennett,School : private,0
2016-10-01,McDade,School : CPS,0
2016-10-01,Great Lakes,School : not-for-profit,0
2016-10-01,Winsight,Corporation,0
2016-10-01,TvS,Corporation,0
2017-01-01,Stagg,School : CPS,10.5
2017-01-01,Tarkington,School : CPS,117.5
2017-01-01,Greene,School : CPS,0
2017-01-01,Chalmers,School : CPS,124.25
2017-01-01,Howe,School : CPS,77.5
2017-01-01,NWEA,Corporation : not-for-profit,568
2017-01-01,Sawyer,School : CPS,0
2017-01-01,Lincoln,School : CPS,0
2017-01-01,NWEA TFA,Corporation : not-for-profit,0
2017-01-01,NTA,School : CPS,38.5
2017-01-01,Gower,School : not-for-profit,412.75
2017-01-01,Miscellaneous,Miscellaneous,71.5
2017-01-01,FCP,School : not-for-profit,11
2017-01-01,Jacobs Boiler,Corporation,7.5
2017-01-01,Kaleidoscope,Corporation,140.5
2017-01-01,Poe,School : CPS,94.5
2017-01-01,Marquette,School : CPS,0
2017-01-01,Bennett,School : private,121.5
2017-01-01,Robert Crown,School : not-for-profit,120.25
2017-01-01,Mayer,School : CPS,87.5
2017-01-01,inQUEST,Corporation,10
2017-01-01,Bitter Pops,Corporation,0
2017-01-01,Rush Day School,School : not-for-profit,0
2017-01-01,Montessori,School - not-for-profit,29.5
2017-01-01,CCSD,School - not-for-profit,119.5
2017-01-01,Kids and Company,Corporation : daycare,0
2017-01-01,Friends of Bennett,School : private,0
2017-01-01,McDade,School : CPS,0
2017-01-01,Great Lakes,School : not-for-profit,0
2017-01-01,Winsight,Corporation,0
2017-01-01,TvS,Corporation,0
2017-04-01,Stagg,School : CPS,0
2017-04-01,Tarkington,School : CPS,119
2017-04-01,Greene,School : CPS,0
2017-04-01,Chalmers,School : CPS,104.5
2017-04-01,Howe,School : CPS,71.5
2017-04-01,NWEA,Corporation : not-for-profit,571.75
2017-04-01,Sawyer,School : CPS,0
2017-04-01,Lincoln,School : CPS,0
2017-04-01,NWEA TFA,Corporation : not-for-profit,0
2017-04-01,NTA,School : CPS,32
2017-04-01,Gower,School : not-for-profit,398
2017-04-01,Miscellaneous,Miscellaneous,86.25
2017-04-01,FCP,School : not-for-profit,15
2017-04-01,Jacobs Boiler,Corporation,1
2017-04-01,Kaleidoscope,Corporation,152.25
2017-04-01,Poe,School : CPS,76
2017-04-01,Marquette,School : CPS,75
2017-04-01,Bennett,School : private,57.25
2017-04-01,Robert Crown,School : not-for-profit,119
2017-04-01,Mayer,School : CPS,68.75
2017-04-01,inQUEST,Corporation,2.75
2017-04-01,Bitter Pops,Corporation,0
2017-04-01,Rush Day School,School : not-for-profit,0
2017-04-01,Montessori,School - not-for-profit,5.5
2017-04-01,CCSD,School - not-for-profit,88
2017-04-01,Kids and Company,Corporation : daycare,0
2017-04-01,Friends of Bennett,School : private,0
2017-04-01,McDade,School : CPS,0
2017-04-01,Great Lakes,School : not-for-profit,0
2017-04-01,Winsight,Corporation,0
2017-04-01,TvS,Corporation,0
2017-07-01,Stagg,School : CPS,0
2017-07-01,Tarkington,School : CPS,67
2017-07-01,Greene,School : CPS,0
2017-07-01,Chalmers,School : CPS,66
2017-07-01,Howe,School : CPS,39
2017-07-01,NWEA,Corporation : not-for-profit,569
2017-07-01,Sawyer,School : CPS,0
2017-07-01,Lincoln,School : CPS,0
2017-07-01,NWEA TFA,Corporation : not-for-profit,0
2017-07-01,NTA,School : CPS,8
2017-07-01,Gower,School : not-for-profit,755.25
2017-07-01,Miscellaneous,Miscellaneous,81
2017-07-01,FCP,School : not-for-profit,5
2017-07-01,Jacobs Boiler,Corporation,0.5
2017-07-01,Kaleidoscope,Corporation,43.5
2017-07-01,Poe,School : CPS,8
2017-07-01,Marquette,School : CPS,0
2017-07-01,Bennett,School : private,266.75
2017-07-01,Robert Crown,School : not-for-profit,159
2017-07-01,Mayer,School : CPS,66
2017-07-01,inQUEST,Corporation,0
2017-07-01,Bitter Pops,Corporation,0
2017-07-01,Rush Day School,School : not-for-profit,0
2017-07-01,Montessori,School - not-for-profit,13
2017-07-01,CCSD,School - not-for-profit,149.25
2017-07-01,Kids and Company,Corporation : daycare,0
2017-07-01,Friends of Bennett,School : private,0
2017-07-01,McDade,School : CPS,0
2017-07-01,Great Lakes,School : not-for-profit,0
2017-07-01,Winsight,Corporation,0
2017-07-01,TvS,Corporation,0
2017-10-01,Stagg,School : CPS,64
2017-10-01,Tarkington,School : CPS,117
2017-10-01,Greene,School : CPS,0
2017-10-01,Chalmers,School : CPS,122.5
2017-10-01,Howe,School : CPS,93
2017-10-01,NWEA,Corporation : not-for-profit,576.75
2017-10-01,Sawyer,School : CPS,0
2017-10-01,Lincoln,School : CPS,0
2017-10-01,NWEA TFA,Corporation : not-for-profit,0
2017-10-01,NTA,School : CPS,31
2017-10-01,Gower,School : not-for-profit,398
2017-10-01,Miscellaneous,Miscellaneous,129.5
2017-10-01,FCP,School : not-for-profit,4
2017-10-01,Jacobs Boiler,Corporation,7
2017-10-01,Kaleidoscope,Corporation,60.25
2017-10-01,Poe,School : CPS,76.5
2017-10-01,Marquette,School : CPS,0
2017-10-01,Bennett,School : private,240.25
2017-10-01,Robert Crown,School : not-for-profit,152
2017-10-01,Mayer,School : CPS,162.25
2017-10-01,inQUEST,Corporation,0
2017-10-01,Bitter Pops,Corporation,0
2017-10-01,Rush Day School,School : not-for-profit,0
2017-10-01,Montessori,School - not-for-profit,64
2017-10-01,CCSD,School - not-for-profit,102.25
2017-10-01,Kids and Company,Corporation : daycare,0
2017-10-01,Friends of Bennett,School : private,0
2017-10-01,McDade,School : CPS,0
2017-10-01,Great Lakes,School : not-for-profit,0
2017-10-01,Winsight,Corporation,0
2017-10-01,TvS,Corporation,0
2018-01-01,Stagg,School : CPS,81
2018-01-01,Tarkington,School : CPS,115.75
2018-01-01,Greene,School : CPS,0
2018-01-01,Chalmers,School : CPS,125.5
2018-01-01,Howe,School : CPS,69.5
2018-01-01,NWEA,Corporation : not-for-profit,575.5
2018-01-01,Sawyer,School : CPS,0
2018-01-01,Lincoln,School : CPS,0
2018-01-01,NWEA TFA,Corporation : not-for-profit,0
2018-01-01,NTA,School : CPS,6
2018-01-01,Gower,School : not-for-profit,322
2018-01-01,Miscellaneous,Miscellaneous,135
2018-01-01,FCP,School : not-for-profit,4
2018-01-01,Jacobs Boiler,Corporation,4.5
